id;evaluation_date;reminder_enabled;reminder_at;score;notes;owner_id;sub_life_pillar_item_id
1;2026-02-18;true;2026-02-18T02:17:57;2;which haze;1;1
2;2026-02-17;false;2026-02-18T07:03:33;6;abandoned festival;2;2
3;2026-02-18;false;2026-02-18T08:20:20;2;indeed sympathetically during;2;3
4;2026-02-18;true;2026-02-17T18:07:14;7;gosh yahoo if;1;4
5;2026-02-18;false;2026-02-18T01:12:08;4;voluminous;1;5
6;2026-02-17;false;2026-02-18T02:19:31;2;father after;1;6
7;2026-02-18;true;2026-02-18T01:05:18;3;uh-huh yowza;1;7
8;2026-02-17;false;2026-02-18T13:15:53;4;if anti bah;2;8
9;2026-02-17;true;2026-02-17T19:42:42;3;out treasure;1;9
10;2026-02-17;false;2026-02-18T01:38:00;6;out;2;10
