id;name;lang;sub_pillar_id
1;Fitness;en;1
2;Nutrition;en;2
3;Mental Health;en;3
4;Sleep;en;4
5;Career Development;en;5
6;Job Satisfaction;en;6
7;Income;en;7
8;Work-Life Balance;en;8
9;Family Time;en;9
10;Friendships;en;10
11;Partner;en;11
12;Community;en;12
13;Learning;en;13
14;Hobbies;en;14
15;Travel;en;15
16;Creativity;en;16
17;Budgeting;en;17
18;Savings;en;18
19;Investments;en;19
20;Debt Management;en;20
21;Quality Time;en;21
22;Traditions;en;22
23;Communication;en;23
24;Support;en;24
25;Entertainment;en;25
26;Sports;en;26
27;Hobbies;en;27
28;Socializing;en;28
29;Meditation;en;29
30;Values;en;30
31;Purpose;en;31
32;Gratitude;en;32

