id;title;description;start_date;end_date;owner_id
1;neglect;short huzzah if;2026-02-17;2026-02-18;1
2;toward;CD entry pfft;2026-02-18;2026-02-18;2
3;entry when;incidentally;2026-02-17;2026-02-17;2
4;oof;fortunately;2026-02-18;2026-02-18;1
5;procurement;even that thorough;2026-02-17;2026-02-18;2
6;knowingly oxygenate;aha righteously shanghai;2026-02-17;2026-02-18;1
7;meanwhile;unless;2026-02-18;2026-02-17;2
8;quarrelsomely drat per;since meaningfully;2026-02-18;2026-02-18;1
9;blissfully difficult beautifully;without insist utilization;2026-02-18;2026-02-18;1
10;behind more;like;2026-02-17;2026-02-18;2
