id;order_index;name;description;notes;trip_plan_id
1;0;Pack luggage;Prepare and pack all necessary items;Don't forget sunscreen;1
2;1;Drive to beach;Travel to destination;Gas up before departure;1
3;2;Check in;Arrive at hotel and check in;Early check-in requested;1
4;3;Enjoy beach;Relax and enjoy the beach;Bring water and snacks;1
5;0;Travel to venue;Fly to conference city;Book airport shuttle;2
6;1;Hotel check-in;Check in at hotel;Conference rate available;2
7;2;Day 1 Sessions;Attend morning sessions;Bring notebook;2
8;3;Day 2 Sessions;Attend afternoon sessions;Networking lunch at 12pm;2
9;0;Prepare car;Check gas and tires;Maintenance check;3
10;1;Drive to location;Travel to destination;Stop for lunch on the way;3
11;2;Arrive and relax;Check in and relax;Dinner reservation at 7pm;3

